Tsunami,Name,Latitude,Longitude,Depth,Magnitude,Date,Deaths,Missing,Injuries,Damage,Houses Destroyed,Houses Damaged
0.0,AZERBAIJAN: SHEMAKHA (SEMACHA),40.6,48.7,7.0,5.7,1872-01-28,0.0,0.0,0.0,12500000.0,0.0,0.0
0.0,"UKRAINE: CARPATHIANS: DOLGE, MARAMOROSH PROVINCE",48.4,23.3,5.0,4.3,1872-12-26,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,"COLOMBIA: CUCUTA,SAN CAYETANO,VILLA DEL ROSARIO",7.9,-72.5,20.0,7.5,1875-05-18,6001.0,0.0,0.0,12500000.0,1000.0,0.0
0.0,UKRAINE: CRIMEA: SEVASTOPOL,44.5,33.4,9.0,5.2,1875-07-25,0.0,0.0,1000.0,2500000.0,0.0,3.0
1,"INDONESIA: BURU ISLAND, CERAM SEA",-3.0,127.25,50.0,6.8,1876-05-28,0.0,0.0,0.0,500000.0,0.0,3.0
1,CHILE: OFF NORTH COAST,-21.5,-70.5,40.0,8.3,1877-05-10,203.0,0.0,0.0,2500001.6,1000.0,0.0
1,CHILE: TARAPACA,-19.92,-70.335,40.0,7.9,1878-01-23,50.0,0.0,0.0,12500000.0,1000.0,0.0
0.0,"VENEZUELA: CUA, CHARALLAVE, SAN DIEGO",10.3,-66.8,13.0,5.9,1878-04-12,1400.0,0.0,0.0,12500000.0,0.0,0.0
0.0,IRAN: BOJNURD,37.5,57.4,15.0,6.7,1879-04-02,1700.0,0.0,0.0,12500000.0,0.0,0.0
1,"PHILIPPINES: S COAST LUZON: PASIG RIVER,PAMPANGA",16.0,121.85,100.0,7.5,1880-07-18,70.0,0.0,100.0,12500000.0,1000.0,0.0
0.0,BALKANS NW: SLOVENIA: LJUBLJANA: W,46.0,14.2,12.0,4.8,1882-07-17,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,RUSSIA: CAUCASUS,41.9,47.8,3.0,4.0,1885-05-01,0.0,0.0,0.0,2500000.0,0.0,0.0
0.0,KYRGYZSTAN: BELOVODSKOJE,42.7,74.1,15.0,6.9,1885-08-02,154.0,0.0,0.0,2500000.0,0.0,0.0
0.0,KAZAKHSTAN: VERNENSK,43.1,76.8,20.0,7.3,1887-06-08,0.0,0.0,0.0,2500000.0,0.0,0.0
1,"IRAN: TASH, ASTRABAD (GORGAN), BASTAM, SHAKHRUD",36.6,54.6,10.0,7.2,1890-07-11,1171.0,0.0,0.0,12500000.0,1000.0,0.0
1,JAPAN: OFF COAST OF HONSHU,42.5,146.0,40.0,7.9,1894-03-22,51.0,0.0,56.0,500000.0,64.0,187.0
0.0,"VENEZUELA: MERIDA,TOVAR; COLOMBIA: N SANTANDER",8.5,-71.7,20.0,8.2,1894-04-29,1400.0,0.0,0.0,0.0,0.0,0.0
0.0,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.5,16.0,6.1,1895-04-14,57.0,0.0,0.0,12500000.0,1000.0,0.0
1,TURKMENISTAN: UZUN-ADA,39.5,53.7,60.0,8.2,1895-07-08,0.0,0.0,0.0,12500000.0,1000.0,0.0
0.0,AFGHANISTAN,37.0,71.0,160.0,7.5,1896-09-23,0.0,0.0,0.0,0.0,0.0,0.0
0.0,CHINA: XINJIANG PROVINCE: KASHGAR,39.7,75.9,25.0,6.6,1896-11-01,57.0,0.0,55.0,2500000.0,173.0,173.0
0.0,RUSSIA: KURIL ISLANDS,43.5,146.0,40.0,7.6,1896-11-18,0.0,0.0,0.0,0.0,0.0,0.0
0.0,"IRAN: QESHM ISLAND, LARAK ISLAND",26.95,56.26,33.0,6.1,1897-01-11,6600.0,0.0,0.0,27500000.0,5000.0,0.0
0.0,"AUSTRALIA: BEACHPORT,ROBE,KINGSTON,MOUNT GAMBIER",-37.3,139.7,14.0,6.5,1897-05-10,0.0,0.0,0.0,0.0,0.0,0.0
0.0,PHILIPPINES: MASBATE ISLAND,12.0,124.0,33.0,7.9,1897-05-13,0.0,0.0,0.0,12500000.0,100.0,0.0
1,INDIA: ASSAM,26.0,91.0,33.0,8.0,1897-06-12,6542.0,0.0,0.0,27500000.0,5000.0,4.0
0.0,PHILIPPINES: LUZON: ILOCOS SUR,18.0,120.0,33.0,7.9,1897-08-15,0.0,0.0,0.0,500000.0,0.0,100.0
0.0,PERU,-11.9,-76.8,70.0,7.7,1897-09-20,0.0,0.0,0.0,0.0,0.0,0.0
1,PHILIPPINES: NW MINDANAO: DAPITAN,6.0,122.0,33.0,8.6,1897-09-20,0.0,0.0,0.0,500000.0,0.0,50.0
1,"PHILIPPINES: MINDANAO, ZAMBOANGA, SULU, ISABELA",6.0,122.0,33.0,8.7,1897-09-21,0.0,0.0,0.0,12500000.0,1000.0,0.0
