Year,Mo,Dy,Tsunami,Volcano,Name,Latitude,Longitude,Depth,Magnitude,Deaths/Num,Deaths/Scale,Missing/Num,Missing/Scale,Injuries/Num,Injuries/Scale,Damage/$Mill,Damage/ Scale,Houses Destroyed/ Num,Houses Destroyed/ Scale,Houses Damaged/ Num,Houses Damaged/ Scale
1852,11,25,Tsu,,INDONESIA: MALUKU: BANDANAIRA,-5.25,129.75,100,8.3,,,,,,,,3,,3,,
1853,7,15,Tsu,,VENEZUELA: CUMANA,10.5,-64.2,14,6.7,1000,3,,,,,,3,,3,,
1858,1,22,,,RUSSIA: KOMANDORSKY ISLAND,55,166,20,7.5,,,,,,,,,,,,
1859,6,11,,,AZERBAIJAN: SHEMAKHA (SEMACHA),40.7,48.5,10,5.9,100,2,,,,,,2,,,,
1861,2,16,Tsu,,"INDONESIA: LAGUNDI, SIMUK, TELLO I",-1,97.5,70,8.5,,3,,,,,,2,,,,
1862,1,12,,,RUSSIA: LAKE BAYKAL,52.3,106.7,40,7.5,,,,,,,,,,,,
1867,2,4,,,GREECE: CEPHALONIA,38.4,20.2,100,7.9,200,3,,,,,,3,,,,
1867,11,18,Tsu,,VIRGIN ISLANDS,18.1,-65.1,33,7.5,,,,,,,,3,,,,
1868,4,3,,,UZBEKISTAN: TASHKENT; KAZAKHSTAN: TURKESTAN,41.2,69.6,18,6.5,,,,,,,,3,,,,
1868,8,13,Tsu,,CHILE: ARICA,-18.6,-71,25,8.5,25000,4,,,,,,4,,,,
1868,8,16,,,"ECUADOR: GUAYAQUIL,IBARRA; COLOMBIA: SAN PABLO",0.31,-78.18,20,7.7,70000,4,,,,,,4,,4,,
1868,10,18,,,GEORGIA: SPASK,41.2,43.8,15,4.5,,,,,,,,2,,,,
1869,8,24,Tsu,,"CHILE: IQUIQUE, PICA; PERU: TACNA",-19.6,-70.23,30,7.5,,,,,,,,1,,,,
1869,10,11,Tsu,,"UKRAINE: CRIMEA: SUDAK, FEODOSIA",44.75,35,18,5.6,,,,,,,,1,,1,,
1871,12,23,,,IRAN: QUCHAN,37.3,58.3,15,5.6,2000,4,,,,,,3,,,,
1872,1,6,,,IRAN: QUCHAN,37.3,58.3,15,6.3,4000,4,,,,,,3,,,,
1872,1,28,,,AZERBAIJAN: SHEMAKHA (SEMACHA),40.6,48.7,7,5.7,,,,,,,,3,,,,
1872,12,26,,,"UKRAINE: CARPATHIANS: DOLGE, MARAMOROSH PROVINCE",48.4,23.3,5,4.3,,,,,,,,2,,,,
1875,5,18,,,"COLOMBIA: CUCUTA,SAN CAYETANO,VILLA DEL ROSARIO",7.9,-72.5,20,7.5,1001,4,,,,,,3,,3,,
1875,7,25,,,UKRAINE: CRIMEA: SEVASTOPOL,44.5,33.4,9,5.2,,,,,,3,,2,,,,3
1876,5,28,Tsu,,"INDONESIA: BURU ISLAND, CERAM SEA",-3,127.25,50,6.8,,,,,,,,1,,,,3
1877,5,10,Tsu,,CHILE: OFF NORTH COAST,-21.5,-70.5,40,8.3,103,2,,,,,1.6,2,,3,,
1878,1,23,Tsu,,CHILE: TARAPACA,-19.92,-70.335,40,7.9,,1,,,,,,3,,3,,
1878,4,12,,,"VENEZUELA: CUA, CHARALLAVE, SAN DIEGO",10.3,-66.8,13,5.9,400,3,,,,,,3,,,,
1879,4,2,,,IRAN: BOJNURD,37.5,57.4,15,6.7,700,3,,,,,,3,,,,
1880,7,18,Tsu,,"PHILIPPINES: S COAST LUZON: PASIG RIVER,PAMPANGA",16,121.85,100,7.5,20,1,,,50,1,,3,,3,,
1882,7,17,,,BALKANS NW: SLOVENIA: LJUBLJANA: W,46,14.2,12,4.8,,,,,,,,2,,,,
1885,5,1,,,RUSSIA: CAUCASUS,41.9,47.8,3,4,,,,,,,,2,,,,
1885,8,2,,,KYRGYZSTAN: BELOVODSKOJE,42.7,74.1,15,6.9,54,2,,,,,,2,,,,
1887,6,8,,,KAZAKHSTAN: VERNENSK,43.1,76.8,20,7.3,,,,,,,,2,,,,
1890,7,11,Tsu,,"IRAN: TASH, ASTRABAD (GORGAN), BASTAM, SHAKHRUD",36.6,54.6,10,7.2,171,3,,,,,,3,,3,,
1894,3,22,Tsu,,JAPAN: OFF COAST OF HONSHU,42.5,146,40,7.9,1,1,,,6,1,,1,14,1,87,2
1894,4,29,,,"VENEZUELA: MERIDA,TOVAR; COLOMBIA: N SANTANDER",8.5,-71.7,20,8.2,400,3,,,,,,,,,,
1895,4,14,,,BALKANS NW: SLOVENIA: LJUBLJANA,46.1,14.5,16,6.1,7,1,,,,,,3,,3,,
1895,7,8,Tsu,,TURKMENISTAN: UZUN-ADA,39.5,53.7,60,8.2,,,,,,,,3,,3,,
1896,9,23,,,AFGHANISTAN,37,71,160,7.5,,,,,,,,,,,,
1896,11,1,,,CHINA: XINJIANG PROVINCE: KASHGAR,39.7,75.9,25,6.6,7,1,,,5,1,,2,73,2,73,2
1896,11,18,,,RUSSIA: KURIL ISLANDS,43.5,146,40,7.6,,,,,,,,,,,,
1897,1,11,,,"IRAN: QESHM ISLAND, LARAK ISLAND",26.95,56.26,33,6.1,1600,4,,,,,,4,,4,,
1897,5,10,,,"AUSTRALIA: BEACHPORT,ROBE,KINGSTON,MOUNT GAMBIER",-37.3,139.7,14,6.5,,,,,,,,,,,,
1897,5,13,,,PHILIPPINES: MASBATE ISLAND,12,124,33,7.9,,,,,,,,3,,2,,
1897,6,12,Tsu,,INDIA: ASSAM,26,91,33,8,1542,4,,,,,,4,,4,,4
1897,8,15,,,PHILIPPINES: LUZON: ILOCOS SUR,18,120,33,7.9,,,,,,,,1,,,,2
1897,9,20,,,PERU,-11.9,-76.8,70,7.7,,,,,,,,,,,,
1897,9,20,Tsu,,PHILIPPINES: NW MINDANAO: DAPITAN,6,122,33,8.6,,,,,,,,1,,,,1
1897,9,21,Tsu,,"PHILIPPINES: MINDANAO, ZAMBOANGA, SULU, ISABELA",6,122,33,8.7,,,,,,,,3,,3,,
1897,10,18,Tsu,,PHILIPPINES: NORTHERN SAMAR,12,126,33,8.1,,,,,,,,2,17,1,,
1898,1,15,,,IRAN: GORGAN (ASTRABAD); TURKMENISTAN,36.5,54.9,5,4.3,,,,,,,,2,,,,
1898,4,29,,,"NICARAGUA: LEON, CHINANDEGA, MANAGUA",12,-86,33,7.9,,,,,,,,2,,,,
1899,3,23,,,BOLIVIA: SOUTHERN,-21.97,-63.67,10,6.9,,,,,,,,,,,,
1899,6,14,,,JAMAICA,18,-77,60,7.8,,,,,,,,,,,,
1899,9,4,Tsu,,ALASKA: CAPE YAKATAGA,60,-142,25,8.2,,,,,,,,1,,,,
1899,9,10,,,ALASKA: CAPE YAKATAGA,60,-140,25,7.8,,,,,,,,,,,,
